Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,Decoration,Pattern Type,Recommendation
Sexy,Average,4.8,L,Spring,V-neck,Threequarter,Empire,Polyster,Lace,Geometric,No
Casual,Average,?,M,Summer,O-neck,Half-sleeve,Natural,Cotton,Ruffles,Dot,Yes
Casual,Low,4.7,M,Summer,O-neck,Sleeveless,Empire,Milksilk,null,Solid,No
Casual,Medium,?,L,Winter,Boat-neck,Full,Empire,?,null,Solid,Yes
Sexy,Low,5,Free,Summer,V-neck,Sleeveless,Empire,?,null,Animal,Yes
Casual,Low,4.3,Free,Summer,O-neck,Sleeveless,?,Milksilk,null,Animal,No
Casual,Average,?,L,Spring,O-neck,Half-sleeve,Natural,Polyster,Hollowout,Solid,Yes
Casual,Average,4.6,Free,Autumn,O-neck,Sleeveless,Natural,Polyster,Sashes,Solid,Yes
Sexy,Average,4.5,M,Spring,O-neck,Threequarter,Natural,Polyster,Lace,Geometric,No
Novelty,Average,?,S,Winter,Turndowncollor,Full,Natural,Cotton,null,Patchwork,No
Casual,Average,4.9,S,Winter,Turndowncollor,Full,Natural,Cotton,null,Solid,Yes
Sexy,Low,4.6,L,Autumn,O-neck,Sleeveless,Natural,?,Lace,Solid,Yes
Bohemian,Low,4.5,M,Summer,V-neck,Sleeveless,Natural,Polyster,null,Print,Yes
Work,Average,?,M,Autumn,Slash-neck,Sleeveless,Natural,Polyster,Bow,Patchwork,No
Cute,High,?,M,Spring,V-neck,Full,Natural,Rayon,null,Solid,Yes
Casual,Average,?,Free,Spring,O-neck,Short,Natural,Cotton,Hollowout,Plaid,No
Casual,Average,5,M,Summer,O-neck,Short,Empire,Polyster,null,Animal,No
Casual,Average,4.7,M,Spring,O-neck,Sleeveless,Natural,?,Sashes,Solid,No
Sexy,Low,4,S,Autumn,O-neck,Sleeveless,Empire,Cotton,null,Solid,Yes
Casual,Average,5,M,Autumn,V-neck,Short,Natural,Cotton,Beading,Solid,No
Casual,Low,?,Free,Summer,V-neck,Half-sleeve,Natural,Silk,Applique,Solid,No
Casual,Medium,4.5,S,Winter,O-neck,Full,Natural,Polyster,null,Patchwork,Yes
Work,Average,4.8,L,Summer,V-neck,Short,Natural,Polyster,Hollowout,Solid,No
Casual,Medium,?,M,Autumn,V-neck,Short,Empire,Polyster,null,Solid,No
Bohemian,Average,5,Free,Summer,V-neck,Sleeveless,Natural,Cotton,null,Print,Yes
Sexy,Low,?,M,Spring,V-neck,Short,Natural,Polyster,Ruffles,Solid,Yes
Sexy,Average,4.2,M,Winter,V-neck,Sleeveless,Natural,Cotton,null,Solid,No
Casual,Low,4.8,Free,Spring,O-neck,Full,Natural,Cotton,Lace,Solid,No
Casual,Low,4.4,S,Autumn,O-neck,Sleeveless,Natural,Polyster,null,Solid,No
Casual,Low,4.7,L,Spring,O-neck,Short,?,Chiffon,Bow,Dot,No
Casual,Average,5,XL,Winter,Boat-neck,Full,?,Cotton,null,Geometric,Yes
Casual,Low,?,Free,Spring,V-neck,Sleeveless,?,Cotton,null,Print,No
Casual,Average,?,Free,Spring,O-neck,Sleeveless,Natural,?,null,Solid,No
Bohemian,Very-high,4.7,Free,Winter,V-neck,Sleeveless,?,Polyster,null,?,Yes
Casual,Low,5,M,Summer,V-neck,Sleeveless,Empire,Polyster,Ruffles,Animal,No
Party,Average,4.7,M,Spring,V-neck,Sleeveless,Natural,Polyster,Hollowout,Solid,No
Sexy,Low,5,Free,Spring,O-neck,Full,Natural,Cotton,null,Striped,No
Vintage,Low,4.6,M,Summer,O-neck,Short,Natural,?,null,Print,No
Casual,Average,?,Free,Winter,O-neck,Half-sleeve,Empire,Polyster,Hollowout,Solid,No
Casual,Low,4.9,L,Summer,Boat-neck,Short,?,?,null,Patchwork,Yes
Casual,Low,?,S,Autumn,O-neck,Full,Natural,?,Beading,Solid,Yes
Sexy,Average,4,S,Autumn,V-neck,Sleeveless,?,Rayon,null,Patchwork,Yes
Sexy,Low,5,M,Autumn,O-neck,Full,Natural,?,Lace,Print,Yes
Brief,Average,4.6,M,Winter,Peterpan-collor,Threequarter,?,Cotton,null,Solid,No
Casual,Average,?,L,Spring,Boat-neck,Sleeveless,Natural,Cotton,Applique,Patchwork,Yes
Casual,Average,4.8,L,Winter,O-neck,Short,Natural,Cotton,Pockets,Solid,Yes
OL,Medium,?,M,Winter,Mandarin-collor,Half-sleeve,Natural,Cotton,Sashes,Solid,No
Sexy,Low,4.8,M,Spring,O-neck,Half-sleeve,Natural,Silk,null,Solid,No
Casual,Medium,?,S,Spring,V-neck,Full,?,?,null,Animal,Yes
Casual,Medium,?,M,Spring,V-neck,Threequarter,Natural,Silk,Ruffles,Solid,Yes
Casual,Average,?,M,Spring,O-neck,Sleeveless,Natural,Silk,null,Print,No
Casual,Average,?,Free,Winter,V-neck,Full,Natural,?,Ruffles,Print,No
Vintage,Low,4.8,S,Summer,O-neck,Short,Natural,?,Ruffles,Print,No
Sexy,Low,4.8,L,Summer,V-neck,Full,Natural,Cotton,Applique,Print,Yes
Fashion,Average,4,Free,Summer,Open,Full,?,Cotton,Sequined,Solid,No
Casual,Average,4.7,L,Summer,V-neck,Short,Natural,?,null,Print,Yes
Casual,Low,?,Free,Winter,O-neck,Half-sleeve,Natural,Polyster,null,Patchwork,Yes
Bohemian,Low,4.8,Free,Summer,O-neck,Short,?,?,null,Animal,Yes
Work,Medium,4.6,L,Winter,Square-collor,Short,Empire,Cotton,Tiered,Solid,No
Vintage,Average,4.7,L,Summer,O-neck,Short,Natural,Cotton,Button,Solid,No
Cute,Low,4.7,M,Spring,O-neck,Short,Empire,Polyster,Ruffles,Dot,Yes
Casual,Low,4.6,Free,Autumn,O-neck,Full,Natural,Cotton,null,Solid,Yes
Casual,Medium,?,Free,Spring,O-neck,Sleeveless,Natural,Cotton,Sequined,Solid,Yes
Casual,Average,4.7,L,Autumn,O-neck,Half-sleeve,?,?,Lace,?,No
Sexy,Average,?,L,Autumn,V-neck,Sleeveless,Empire,?,null,Patchwork,No
Casual,Low,4.7,Free,Winter,O-neck,Sleeveless,Natural,Cotton,null,Solid,Yes
Casual,Average,?,M,Autumn,O-neck,Short,Empire,Polyster,Applique,Print,No
Cute,Average,4.8,L,Autumn,Slash-neck,Sleeveless,Natural,?,Hollowout,Solid,No
Party,Average,5,M,Spring,O-neck,Half-sleeve,Natural,?,null,?,Yes
Cute,Average,4.3,L,Winter,O-neck,Sleeveless,Natural,?,null,Solid,No
Casual,Average,4.5,L,Spring,O-neck,Short,Natural,Cotton,null,Patchwork,No
Casual,Low,4.7,L,Autumn,O-neck,Full,?,Cotton,Lace,Print,No
Casual,Low,4.5,Free,Autumn,V-neck,Short,Natural,Silk,Lace,Solid,No
Sexy,Average,3.6,L,Winter,V-neck,Full,Natural,Polyster,Beading,Solid,Yes
Work,Average,4.8,L,Winter,V-neck,Short,Natural,Mix,Lace,Solid,No
Vintage,Average,?,Free,Summer,O-neck,Sleeveless,?,?,null,?,No
Sexy,Low,4.6,Free,Spring,O-neck,Full,Natural,?,Lace,Leopard,Yes
Sexy,Low,?,Free,Winter,V-neck,Sleeveless,Empire,Cotton,null,Solid,Yes
Work,Average,4.6,L,Spring,O-neck,Short,Empire,Cotton,null,Patchwork,No
Casual,Average,4.4,M,Summer,O-neck,Short,Empire,?,Lace,Patchwork,No
Cute,Low,4.9,M,Autumn,O-neck,Short,Natural,Chiffon,Bow,Dot,No
Sexy,Low,4.6,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Beading,Solid,No
Party,Average,4.4,Free,Autumn,V-neck,Threequarter,Natural,?,null,Solid,No
Casual,Average,?,Free,Spring,O-neck,Short,?,Cotton,Lace,?,Yes
Casual,Low,?,M,Summer,V-neck,Full,Natural,Acrylic,Lace,Solid,No
Sexy,Average,4.6,M,Winter,O-neck,Full,Natural,Polyster,null,Patchwork,Yes
Work,Average,4.6,M,Spring,V-neck,Full,?,?,null,?,No
Cute,Average,4.7,L,Winter,O-neck,Sleeveless,Natural,Chiffon,Lace,Solid,No
Bohemian,Average,4.7,L,Autumn,O-neck,Sleeveless,Natural,?,null,Solid,No
Cute,High,?,M,Winter,O-neck,Threequarter,Empire,Silk,Lace,Patchwork,No
Casual,Average,?,XL,Winter,O-neck,Short,Empire,Polyster,Button,Solid,No
Novelty,Average,4.9,L,Autumn,O-neck,Short,Natural,Polyster,null,Print,Yes
Casual,Low,4.7,M,Autumn,O-neck,Full,?,Cotton,null,Solid,No
Cute,Average,4.3,Free,Summer,Boat-neck,Sleeveless,?,?,null,?,Yes
Sexy,Low,?,Free,Autumn,Slash-neck,Short,Empire,?,Hollowout,Solid,No
Cute,Low,4.7,XL,Summer,O-neck,Short,Empire,Chiffon,Bow,Print,No
Sexy,Low,4.5,L,Spring,O-neck,Sleeveless,?,?,Lace,Solid,No
Casual,Average,4.7,M,Autumn,O-neck,Sleeveless,?,Cotton,null,Animal,Yes
Casual,Average,?,L,Spring,Boat-neck,Sleeveless,Natural,Cotton,Lace,Solid,Yes
Cute,Low,4.7,Free,Summer,O-neck,Sleeveless,?,?,null,Print,Yes
Casual,Low,4.4,Free,Summer,Turndowncollor,Sleeveless,Natural,Cotton,null,Solid,No
Casual,Average,4.8,L,Winter,V-neck,Short,Empire,Polyster,Ruffles,Solid,No
Vintage,Average,4.3,Free,Winter,O-neck,Short,?,Chiffon,null,Print,No
Cute,Low,4.5,L,Summer,O-neck,Sleeveless,Natural,Cotton,Sashes,Solid,Yes
Casual,Average,4.4,M,Summer,Turndowncollor,Sleeveless,Natural,Chiffon,null,Solid,No
Vintage,Medium,?,S,Winter,Turndowncollor,Half-sleeve,Natural,Cotton,null,Plaid,No
Sexy,Low,4.7,Free,Summer,Turndowncollor,Sleeveless,Natural,Cotton,null,Solid,Yes
Vintage,High,?,L,Summer,O-neck,Short,Natural,Cotton,null,Print,No
Casual,Low,?,Free,Spring,V-neck,Threequarter,?,Silk,Lace,?,Yes
Sexy,Average,?,S,Autumn,Slash-neck,Short,Natural,?,Lace,Solid,No
Casual,Low,?,Free,Spring,O-neck,Short,Natural,?,Hollowout,Solid,No
Cute,Medium,5,Free,Winter,O-neck,Sleeveless,Natural,Silk,Lace,Solid,Yes
Casual,Low,4.7,Free,Summer,O-neck,Sleeveless,?,?,null,Print,No
Sexy,Low,4.8,Free,Spring,V-neck,Sleeveless,?,?,Sequined,Solid,Yes
Casual,Average,4.5,L,Winter,O-neck,Short,Natural,Cotton,Bow,Patchwork,No
Vintage,Average,?,S,Spring,O-neck,Full,Natural,Mix,Embroidary,Print,No
Casual,Average,3.7,Free,Autumn,Boat-neck,Full,?,?,null,Solid,Yes
Vintage,Average,4.8,L,Winter,O-neck,Sleeveless,Natural,Cotton,null,Patchwork,No
Cute,Average,?,XL,Spring,Boat-neck,Full,?,Cotton,Applique,Dot,Yes
Casual,Average,?,L,Winter,Open,Short,Natural,Mix,Applique,Solid,Yes
Sexy,Medium,5,M,Winter,O-neck,Sleeveless,Empire,Polyster,Bow,Solid,No
Brief,Average,4.9,Free,Summer,Slash-neck,Sleeveless,Natural,?,null,Solid,No
Casual,High,4.9,S,Spring,O-neck,Threequarter,Natural,?,null,Dot,Yes
Brief,Average,4.6,Free,Winter,O-neck,Full,Natural,Mix,Sashes,Solid,No
Casual,Low,4.5,Free,Winter,O-neck,Full,Natural,Mix,Applique,Solid,No
Casual,Low,4.8,XL,Summer,O-neck,Short,Empire,Mix,Sashes,Geometric,No
Sexy,Medium,4.6,L,Summer,O-neck,Short,Natural,Spandex,Lace,Solid,No
Casual,Average,4.5,M,Winter,V-neck,Sleeveless,Natural,?,Button,Striped,No
Work,Average,?,S,Autumn,O-neck,Sleeveless,Natural,Linen,null,Patchwork,No
Casual,Low,?,L,Winter,O-neck,Sleeveless,Empire,Polyster,null,Leopard,No
Cute,Low,5,L,Winter,O-neck,Threequarter,Natural,Silk,Sashes,Print,No
Brief,Average,4.3,M,Spring,O-neck,Full,Natural,Mix,Sequined,Patchwork,Yes
Sexy,Low,4.4,Free,Autumn,O-neck,Full,Empire,Cotton,null,Leopard,No
Cute,Low,?,Free,Summer,Peterpan-collor,Short,Empire,Cotton,Applique,Print,No
Casual,Average,4.5,Free,Summer,O-neck,Short,Natural,Cotton,null,Solid,Yes
Sexy,Low,4.7,M,Winter,Slash-neck,Sleeveless,?,Nylon,Sashes,Solid,Yes
Casual,Low,4.7,Free,Spring,O-neck,Sleeveless,Empire,Cotton,null,Floral,No
Casual,Medium,4.8,M,Winter,Peterpan-collor,Short,Natural,Polyster,Lace,Patchwork,No
Sexy,Low,4.3,Free,Winter,V-neck,Sleeveless,Natural,Silk,Lace,Solid,Yes
Bohemian,Average,?,L,Winter,Turndowncollor,Full,Natural,Mix,null,Solid,No
Casual,Low,?,Free,?,O-neck,Full,Natural,Cotton,null,Patchwork,No
Cute,Medium,4.8,Free,Spring,Slash-neck,Sleeveless,Natural,Polyster,Sashes,Solid,Yes
Sexy,Average,?,S,Autumn,V-neck,Sleeveless,Empire,Cotton,Beading,Solid,No
Casual,Low,4.6,S,Spring,O-neck,Full,Natural,Cotton,null,Solid,Yes
Vintage,Medium,4.7,Free,Spring,Turndowncollor,Sleeveless,Natural,Mix,Lace,Solid,Yes
Work,Low,4.7,Free,Summer,O-neck,Full,Empire,Cotton,null,Solid,No
Cute,Average,4.8,M,Summer,O-neck,Short,Natural,Cotton,Rivet,Solid,No
Cute,Average,?,M,Summer,O-neck,Short,Natural,Cotton,null,Print,No
Casual,Average,4.7,M,Winter,O-neck,Full,?,?,null,Animal,No
Casual,Low,4.6,Free,Winter,O-neck,Full,Natural,Polyster,Applique,Solid,Yes
Party,Average,5,Free,Summer,V-neck,Sleeveless,?,?,null,?,No
Casual,Average,?,Free,Summer,V-neck,Sleeveless,Natural,Cotton,null,Patchwork,No
Sexy,Average,5,L,Winter,O-neck,Threequarter,Natural,Polyster,Lace,Geometric,No
Sexy,Average,4.8,Free,Winter,O-neck,Sleeveless,Natural,Polyster,Embroidary,Solid,No
Casual,Average,4.7,S,Summer,V-neck,Short,Natural,Cotton,null,Dot,No
Casual,Average,4.1,M,Autumn,V-neck,Full,?,?,Sashes,?,Yes
Casual,Average,5,XL,Autumn,O-neck,Short,Natural,Chiffon,null,?,No
Sexy,Average,5,M,Summer,V-neck,Sleeveless,Empire,Cotton,Sequined,Solid,Yes
Work,Average,4.6,L,Summer,Slash-neck,Short,Natural,Cotton,null,Solid,No
Casual,Average,4.5,M,Summer,Peterpan-collor,Sleeveless,?,?,null,?,No
Vintage,Average,4.5,L,Autumn,O-neck,Sleeveless,Empire,?,null,Solid,No
Casual,Average,?,M,Summer,O-neck,Threequarter,Natural,Nylon,null,Solid,Yes
Cute,Average,4.7,L,Summer,O-neck,Sleeveless,Natural,Cotton,null,Print,No
Bohemian,Low,4.7,Free,Winter,O-neck,Short,Natural,Nylon,Sashes,Print,No
Casual,Low,5,Free,Spring,Slash-neck,Sleeveless,Empire,Spandex,null,Striped,Yes
Casual,Average,5,M,Winter,O-neck,Sleeveless,Natural,?,Sashes,Solid,Yes
Casual,Average,4.3,Free,Summer,O-neck,Sleeveless,Natural,Cotton,null,Striped,No
Work,Low,4.5,M,Winter,V-neck,Threequarter,?,?,null,Patchwork,No
Casual,Average,4.3,S,Spring,Boat-neck,Full,Natural,Cotton,Lace,Patchwork,Yes
Casual,Average,4.4,L,Autumn,O-neck,Half-sleeve,Natural,?,Lace,Animal,No
Sexy,Low,4.3,M,Autumn,Open,Short,Natural,Lace,Lace,Print,No
Casual,Low,4.6,Free,Summer,O-neck,Full,Natural,Cotton,Lace,Solid,Yes
Casual,Low,4.6,L,Winter,O-neck,Full,?,Cotton,null,?,No
Casual,Average,4.6,M,Spring,O-neck,Sleeveless,Natural,?,Sashes,Solid,Yes
Casual,Low,?,Free,Autumn,Peterpan-collor,Threequarter,Empire,?,null,?,No
Casual,Average,4.7,S,Spring,O-neck,Half-sleeve,Empire,?,null,?,Yes
Casual,Average,?,S,Summer,O-neck,Sleeveless,Empire,Cotton,null,Solid,No
Casual,Low,4.8,Free,Summer,O-neck,Sleeveless,Natural,Cotton,null,Print,Yes
Casual,Average,5,S,Winter,O-neck,Sleeveless,Empire,Polyster,null,Plaid,No
Sexy,Very-high,?,Free,Winter,V-neck,Sleeveless,Natural,Polyster,null,Solid,No
Casual,Low,4.4,Free,Summer,O-neck,Sleeveless,Natural,Polyster,Sashes,Print,No
Casual,Average,4.8,M,Autumn,V-neck,Short,?,?,Embroidary,Print,Yes
Casual,Average,5,Free,Summer,V-neck,Sleeveless,?,Modal,null,Patchwork,No
Sexy,Low,4.8,M,Autumn,V-neck,Full,Natural,Cotton,null,Print,Yes
Casual,Average,4.6,Free,Winter,V-neck,Full,Natural,Cotton,null,Striped,No
Casual,Average,4.6,M,Winter,V-neck,Full,Natural,Chiffon,null,?,No
Casual,Low,5,S,Spring,O-neck,Sleeveless,Natural,Chiffon,null,Print,No
Cute,Average,?,M,Winter,O-neck,Short,Natural,Polyster,Sashes,Solid,No
Casual,Low,4.8,Free,Spring,O-neck,Sleeveless,?,Chiffon,null,Print,Yes
Casual,Average,4.6,M,Autumn,O-neck,Short,Empire,Polyster,Applique,Dot,No
Bohemian,Average,5,M,Spring,Slash-neck,Sleeveless,Empire,?,Ruffles,Solid,Yes
Casual,Low,4.9,Free,Winter,O-neck,Sleeveless,Empire,Silk,Sashes,Print,Yes
Casual,Average,4.7,L,Summer,O-neck,Sleeveless,Natural,Silk,Beading,Solid,No
Casual,Medium,4.6,M,Winter,O-neck,Full,Natural,Cashmere,null,Solid,Yes
Casual,Average,4.7,M,Winter,V-neck,Sleeveless,Empire,Polyster,Applique,Print,No
Sexy,Average,4.7,M,Winter,V-neck,Sleeveless,Natural,Polyster,null,Patchwork,No
Casual,Average,3.5,M,Winter,V-neck,Short,Natural,?,null,Solid,No
Casual,Average,4.8,M,Winter,O-neck,Threequarter,Natural,?,null,Print,Yes
Casual,Average,?,M,Winter,O-neck,Full,Natural,Cotton,Feathers,Solid,Yes
Casual,Low,4.6,M,Summer,O-neck,Sleeveless,Natural,Cotton,Sashes,Striped,No
Casual,Average,4.7,L,Spring,V-neck,Half-sleeve,Natural,?,null,Print,Yes
Casual,Low,4.5,Free,Summer,O-neck,Full,Natural,Cotton,Button,Solid,No
Casual,Average,4.7,M,Summer,O-neck,Sleeveless,Natural,Polyster,null,Character,No
Casual,Low,4.5,M,Winter,O-neck,Short,Natural,Chiffon,null,Solid,No
Casual,Low,4.7,S,Summer,O-neck,Full,Natural,Cotton,null,Patchwork,No
Cute,Low,?,Free,Summer,Boat-neck,Sleeveless,?,Cotton,null,Print,No
Party,Very-high,5,M,Spring,Slash-neck,Sleeveless,Natural,Chiffon,Flowers,?,Yes
Casual,Average,4.9,M,Autumn,V-neck,Sleeveless,?,Polyster,null,?,Yes
Party,Very-high,?,L,Winter,V-neck,Sleeveless,Natural,Polyster,Beading,?,No
Party,Very-high,?,M,Winter,V-neck,Cap-sleeves,?,?,Lace,?,No
Casual,Low,4.4,M,Winter,V-neck,Turndowncollor,?,Cotton,null,?,Yes
Party,Very-high,?,M,Spring,V-neck,Threequarter,Natural,Lycra,Applique,?,Yes
Party,High,?,M,Winter,Sweetheart,Sleeveless,Natural,?,Pearls,?,No
Party,High,?,M,Spring,Sweetheart,Sleeveless,?,Nylon,null,?,No
Party,Average,5,M,Winter,O-neck,Cap-sleeves,Empire,Polyster,Lace,?,Yes
Party,High,4.7,M,Winter,Sweetheart,Sleeveless,Natural,?,Flowers,?,No
Party,?,4.8,Free,Winter,O-neck,Sleeveless,Empire,?,Embroidary,?,Yes
Party,?,4.5,L,Summer,?,Full,?,?,null,?,Yes
Party,Very-high,4.9,M,Spring,Sweetheart,Sleeveless,Empire,?,Beading,?,Yes
Party,High,4.6,M,Winter,Sweetheart,Sleeveless,Natural,?,null,?,No
Party,Average,5,M,Spring,Sweetheart,Sleeveless,Natural,Polyster,null,?,Yes
Party,Very-high,4.8,L,Spring,Sweetheart,Sleeveless,Empire,Microfiber,Beading,?,Yes
Party,Very-high,?,M,Winter,Sweetheart,Sleeveless,Natural,Polyster,Beading,?,Yes
Party,High,4.6,L,Spring,Slash-neck,Sleeveless,Empire,Silk,Beading,?,No
Party,Average,4.8,L,?,Sweetheart,Sleeveless,Empire,?,Pleat,?,Yes
Party,Medium,4.6,S,Winter,Scoop,Short,Empire,?,Crystal,?,No
Party,Very-high,4.9,M,Spring,Sweetheart,Sleeveless,Natural,Silk,Beading,?,Yes
Party,Medium,4.8,S,Spring,V-neck,Sleeveless,Empire,?,null,?,Yes
Party,Very-high,4.2,L,Winter,V-neck,Sleeveless,?,?,Lace,?,Yes
Casual,Low,4.4,Free,Summer,O-neck,Sleeveless,?,?,null,?,Yes
Party,Very-high,4.1,M,Winter,Scoop,Short,Natural,Cotton,Applique,?,Yes
Party,Very-high,?,M,Winter,O-neck,Full,Natural,?,Feathers,?,Yes
Casual,High,4.6,M,Summer,Sweetheart,Sleeveless,Empire,?,Beading,?,Yes
Party,Average,4.7,Free,Winter,O-neck,Sleeveless,?,Polyster,null,?,No
Party,Very-high,4.7,L,Winter,Slash-neck,Sleeveless,Empire,Viscos,Beading,?,Yes
Party,Very-high,4.5,M,Spring,V-neck,Cap-sleeves,?,?,Lace,?,Yes
Party,Average,4.7,Free,Spring,Sweetheart,Sleeveless,Empire,Rayon,Beading,Solid,Yes
Party,High,4.8,M,Summer,Sweetheart,Sleeveless,Princess,?,null,?,Yes
Party,High,4.6,M,Summer,Slash-neck,Sleeveless,Natural,?,null,?,Yes
Party,Medium,4.7,M,Winter,O-neck,Sleeveless,Empire,Cotton,Button,?,Yes
Cute,Average,4.4,Free,Spring,Sweetheart,Sleeveless,Empire,Spandex,Ruched,Solid,Yes
Party,Average,5,M,Spring,O-neck,Sleeveless,?,?,null,?,Yes
Party,Very-high,4.8,Free,Spring,Sweetheart,Sleeveless,Natural,Polyster,Beading,?,Yes
Party,Medium,4.8,M,Spring,O-neck,Sleeveless,Natural,Silk,Crystal,?,Yes
Party,Very-high,4.9,L,Spring,Slash-neck,Sleeveless,?,?,Flowers,?,Yes
Party,Medium,?,Free,Winter,V-neck,Short,Empire,?,Lace,?,Yes
Work,Average,5,Free,Winter,O-neck,Half-sleeve,?,Microfiber,null,?,No
Party,Very-high,4.9,M,Spring,V-neck,Sleeveless,Empire,?,Beading,?,Yes
Casual,High,5,Free,Summer,V-neck,Sleeveless,Natural,Nylon,null,?,Yes
Casual,Very-high,?,S,Spring,O-neck,Full,?,?,Applique,?,No
Casual,Medium,4.7,M,Spring,O-neck,Sleeveless,Natural,Cotton,Bow,?,Yes
Party,Average,?,M,Spring,V-neck,Sleeveless,Natural,?,null,?,Yes
Casual,Average,4.4,Free,Summer,Slash-neck,Sleeveless,Empire,Cotton,null,?,Yes
Casual,Very-high,4.6,M,Winter,O-neck,Short,Natural,?,Flowers,?,Yes
Casual,Low,4.4,Free,Winter,Halter,Sleeveless,Natural,?,Draped,?,Yes
Party,High,4.5,M,Winter,O-neck,Sleeveless,?,?,null,?,Yes
Casual,Average,4.8,Free,Summer,O-neck,Sleeveless,Natural,?,null,?,No
Sexy,Average,5,M,Summer,O-neck,Sleeveless,Natural,Polyster,Rivet,?,No
Vintage,Average,4.9,Free,Summer,O-neck,Turndowncollor,Empire,?,null,?,No
Vintage,Average,4.7,S,Summer,Turndowncollor,Short,Empire,Cotton,null,?,No
